,Molecule ChEMBL ID,Smiles
161,CHEMBL2180345,CCC1S/C(=N/N=C(\C)COc2ccccc2)NC1=S
162,CHEMBL3221951,NC(=[Se])N/N=C/c1cccc(C(F)(F)F)c1
163,CHEMBL2297590,C/C(=N/NC(N)=S)c1cccc(Br)c1
164,CHEMBL3121903,C/C(=N\NC(N)=S)C(C)Oc1ccc(Br)cc1
165,CHEMBL227002,[O-][n+]1onc2cc(/C=C/c3ccccc3)ccc21
166,CHEMBL238428,[O-][n+]1onc2cc(/C=C\[S+]([O-])c3ccccc3)ccc21
167,CHEMBL238428,[O-][n+]1onc2cc(/C=C\[S+]([O-])c3ccccc3)ccc21
168,CHEMBL568613,O=S(=O)(/C=C\c1ccc2no[n+]([O-])c2c1)c1ccc(F)cc1
169,CHEMBL3220736,[O-][n+]1onc2ccc(CN3CCN(/C(=N/c4ccccc4)NCc4ccccc4)CC3)cc21
170,CHEMBL3220745,c1ccc(N/C(=N/Cc2ccco2)N2CCNCC2)cc1
171,CHEMBL3221948,C/C(=N\NC(N)=[Se])c1cccc(Br)c1
172,CHEMBL3221948,C/C(=N\NC(N)=[Se])c1cccc(Br)c1
173,CHEMBL3787039,C/C(=N\Nc1nc(-c2ccccc2)c(C)s1)c1ccc(Cl)c(Cl)c1
174,CHEMBL3786279,C/C(=N\Nc1nc(-c2ccc(F)cc2)cs1)c1ccc(Cl)c(Cl)c1
175,CHEMBL4160354,C/C(=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)c1ccc(Cl)c(Cl)c1
176,CHEMBL3827142,CCOC(=O)c1c(NC(=S)Nc2ccccc2)sc2c1CCCC2
177,CHEMBL3827672,CCOC(=O)c1c(/N=C2\SCC(=O)N2c2ccccc2)sc2c1CCCC2
178,CHEMBL3827174,C=CCn1c(C)c(C(=O)OCC)s/c1=N\c1sc2c(c1C(=O)OCC)CCCC2
179,CHEMBL3828195,C=CCN1C(=O)C(CC(=O)O)S/C1=N\c1sc2c(c1C(=O)OCC)CCCC2
180,CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N
181,CHEMBL3827307,CC(C)OC(=O)c1c(/N=C2\SCC(=O)N2c2ccccc2)sc2c1CCCC2
182,CHEMBL3827174,C=CCn1c(C)c(C(=O)OCC)s/c1=N\c1sc2c(c1C(=O)OCC)CCCC2
183,CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N
184,CHEMBL3827142,CCOC(=O)c1c(NC(=S)Nc2ccccc2)sc2c1CCCC2
185,CHEMBL3827307,CC(C)OC(=O)c1c(/N=C2\SCC(=O)N2c2ccccc2)sc2c1CCCC2
186,CHEMBL3827174,C=CCn1c(C)c(C(=O)OCC)s/c1=N\c1sc2c(c1C(=O)OCC)CCCC2
187,CHEMBL3827125,C=CCN1C(=O)C(CC(=O)O)S/C1=N\c1sc2c(c1C(=O)OC(C)C)CCCC2
188,CHEMBL3828647,CCOC(=O)c1c(/N=c2\scc(-c3ccccc3)n2-c2ccccc2)sc2c1CCCC2
189,CHEMBL3827943,C=CCn1c(C)c(C(=O)OCC)s/c1=N\c1sc2c(c1C(=O)OC(C)C)CCCC2
190,CHEMBL2064832,COc1cc2c(cc1OC)/C(=N/Nc1nc(-c3ccc(C)cc3)cs1)CC2
191,CHEMBL2064835,Cc1ccc(-c2csc(N/N=C3\CCc4c(C)cccc43)n2)cc1
192,CHEMBL2064844,Cc1ccc(-c2csc(N/N=C3\CCc4ccc(C)cc43)n2)cc1
193,CHEMBL2064835,Cc1ccc(-c2csc(N/N=C3\CCc4c(C)cccc43)n2)cc1
194,CHEMBL2064844,Cc1ccc(-c2csc(N/N=C3\CCc4ccc(C)cc43)n2)cc1
195,CHEMBL3221949,NC(=[Se])N/N=C/c1cccc(Br)c1
196,CHEMBL4286203,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@@H]1C(=O)N1C(C(=O)OCCc2ccccc2)C1C(=O)OCCc1ccccc1
197,CHEMBL4290945,CCOC(=O)C1C(C(=O)O)N1C(=O)[C@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C
198,CHEMBL4242138,CCOC(=O)/C=C/C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1
199,CHEMBL4249898,CCOC(=O)/C=C/[C@H](O)[C@H](CCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)OC
200,CHEMBL1173694,O=C(COc1ccccc1Br)NCCc1nc2ccccc2[nH]1
201,CHEMBL3233087,CC(=O)Nc1ccccc1OCC(=O)NCCc1nc2ccccc2[nH]1
202,CHEMBL3233090,O=C(COc1cccc2ccccc12)NCCc1nc2ccccc2[nH]1
203,CHEMBL1310061,Cc1ccccc1OCC(=O)NCCC(=O)O
204,CHEMBL3233103,O=C(COc1ccc2ccccc2c1Br)NCCc1c[nH]c2ccccc12
205,CHEMBL3233111,O=C(COc1ccccc1Cl)NCCc1cnc[nH]1
206,CHEMBL3233113,Cc1ccccc1OCC(=O)NCCc1nc2ccccc2o1
207,CHEMBL2064836,Cc1cccc2c1CC/C2=N\Nc1nc(-c2ccc(Cl)cc2)cs1
208,CHEMBL4276873,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@@H]1C(=O)N1C(C(=O)OCC2CCCCC2)C1C(=O)OCC1CCCCC1
209,CHEMBL604281,CN(C#N)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
210,CHEMBL4204523,CCOC(=O)/C=C/CNC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
211,CHEMBL459639,NC(=O)N/N=C/c1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1
212,CHEMBL4291838,CCOC(=O)C1C(C(=O)OCc2ccccc2)N1C(=O)[C@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C
213,CHEMBL1276228,O=C1CS/C(=N/N=C/C=C/c2ccccc2)N1
214,CHEMBL1277144,CCC1S/C(=N/N=C(\C)CSc2ccc(C)cc2)NC1=O
215,CHEMBL1276231,CC1S/C(=N/N=C/CSc2ccccc2)NC1=O
216,CHEMBL1276229,NC(=S)N/N=C/CCc1ccccc1
217,CHEMBL1276230,NC(=S)N/N=C/C=C/c1ccccc1
218,CHEMBL1276301,Cc1ccc(SC/C=N/N=C2\NC(=O)C(C)S2)cc1
219,CHEMBL1276228,O=C1CS/C(=N/N=C/C=C/c2ccccc2)N1
220,CHEMBL241624,[O-][n+]1onc2cc(/C=C/[S+]([O-])c3ccccc3)ccc21
221,CHEMBL4280696,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@@H]1C(=O)N1C(C(=O)OCc2ccccc2)C1C(=O)OCc1ccc2ccccc2c1
222,CHEMBL3221952,NC(=[Se])NN=C(c1cccc(Br)c1)c1cccc(Br)c1
223,CHEMBL3221953,CCCC/C(=N/NC(N)=[Se])c1ccc(Cl)c(Cl)c1
224,CHEMBL2297590,C/C(=N/NC(N)=S)c1cccc(Br)c1
225,CHEMBL3221952,NC(=[Se])NN=C(c1cccc(Br)c1)c1cccc(Br)c1
226,CHEMBL4558626,O=C(O)CCc1nc2ccccc2[nH]c1=O
227,CHEMBL238429,O=S(=O)(/C=C/c1ccc2c(c1)no[n+]2[O-])c1ccccc1
228,CHEMBL241624,[O-][n+]1onc2cc(/C=C/[S+]([O-])c3ccccc3)ccc21
229,CHEMBL391827,O=S(=O)(/C=C\c1ccc2c(c1)no[n+]2[O-])c1ccccc1
230,CHEMBL238429,O=S(=O)(/C=C/c1ccc2c(c1)no[n+]2[O-])c1ccccc1
231,CHEMBL226536,[O-][n+]1onc2cc(/C=C\c3ccccc3)ccc21
232,CHEMBL241622,[O-][n+]1onc2cc(/C=C/Sc3ccccc3)ccc21
233,CHEMBL1079067,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1cc(-c2cccnc2)no1
234,CHEMBL2180327,C/C(COc1ccccc1)=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
235,CHEMBL565655,[O-][n+]1onc2ccc(/C=C\Sc3ccccc3)cc21
236,CHEMBL2064843,Cc1ccc2c(c1)/C(=N/Nc1nc(-c3ccccc3)cs1)CC2
